question,text,a,b,c,d,correct
1,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,a
2,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,b
3,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,c
4,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,d
5,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,a
6,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,b
7,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,c
8,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,d
9,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,a
10,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,b
11,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,c
12,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,d
13,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,a
14,asflsdjfk,sdfkjs,sdfkjs,sdfkjs,sdfkjs,b
